Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,238,207,,
2,3.902664034,0.103542824,0.102906017,0.001781176,2.653131889,1.730876437,0.051771412,0.000890588
2,5.720612295,0.17391466,0.075095981,0.001299163,3.040140653,1.730003367,0.08695733,0.000649582
2,4.842881342,0.128763098,0.088844874,0.001536285,2.658811747,1.729176857,0.064381549,0.000768143
2,4.130013122,0.093167052,0.088788464,0.001528358,2.255853656,1.721347494,0.046583526,0.000764179
2,5.3945834,0.257721976,0.101399259,0.001744267,4.777421293,1.720196989,0.128860988,0.000872134
2,5.454294623,0.097986369,0.07582752,0.001300675,1.796499378,1.715307319,0.048993185,0.000650338
2,22.05659566,0.475185734,0.103284007,0.001770755,2.154392914,1.714452268,0.237592867,0.000885378
2,8.134801605,0.131043718,0.07431259,0.001271781,1.610902446,1.711393722,0.065521859,0.000635891
2,21.32100036,1.332965205,0.076625692,0.001303828,6.251888666,1.701554617,0.666482603,0.000651914
2,5.477503069,0.339654284,0.086831076,0.001468129,6.200896279,1.690787524,0.169827142,0.000734065
2,20.53102101,0.39067517,0.072890849,0.001230097,1.902853101,1.687587697,0.195337585,0.000615049
2,11.93501254,0.313745904,0.107465552,0.001812076,2.628785709,1.686192428,0.156872952,0.000906038
2,4.483850344,0.066361263,0.090071634,0.00151856,1.480006198,1.685946987,0.033180632,0.00075928
2,6.729270869,0.14324057,0.0770213,0.001283707,2.128619471,1.666690902,0.071620285,0.000641854
2,5.681472114,0.16433911,0.07444652,0.001239758,2.892544515,1.665300138,0.082169555,0.000619879
2,4.274072104,0.183180317,0.108320485,0.001791154,4.285849947,1.653569036,0.091590159,0.000895577
2,5.865893813,0.178250319,0.101234014,0.001659845,3.038758025,1.639611959,0.08912516,0.000829923
2,3.510689171,0.08200646,0.102630514,0.001672036,2.335907738,1.629180187,0.04100323,0.000836018
2,5.538106538,0.145823038,0.104311395,0.001697669,2.633084738,1.627501003,0.072911519,0.000848835
2,5.32382389,0.11636617,0.101870209,0.001656489,2.185762948,1.626077944,0.058183085,0.000828245
2,3.245578107,0.067378592,0.104604867,0.001686321,2.076012032,1.612086558,0.033689296,0.000843161
2,3.438504457,0.083496869,0.103465255,0.00166094,2.428290265,1.605311851,0.041748435,0.00083047
