sample_id,geochronid,analysis_type,analysis_document,analysis_doc_link,dlat,dlong,recommended_reference,local_pdf_path,download_status,download_error,download_size_bytes
178059,178059.1,U-Pb zircon,178059.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178059.1.pdf,-27.601786,119.92951,"Nelson, DR 2005, 178059: biotite monzogranite, Michel Bore; Geochronology Record 586: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178059.1.pdf,DOWNLOADED,,433145
178060,178060.1,U-Pb zircon,178060.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178060.1.pdf,-27.877006,119.35066,"Nelson, DR 2005, 178060: biotite monzogranite, Sandstone; Geochronology Record 587: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178060.1.pdf,DOWNLOADED,,535772
178062,178062.1,U-Pb zircon,178062.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178062.1.pdf,-27.742516,119.33721,"Nelson, DR 2005, 178062: foliated biotite monzogranite, Wizard Bore; Geochronology Record 589: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178062.1.pdf,DOWNLOADED,,600065
178064,178064.1,U-Pb zircon,178064.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178064.1.pdf,-28.845066,119.99953,"Nelson, DR 2005, 178064: coarse sandstone, The Stock Well; Geochronology Record 591: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178064.1.pdf,DOWNLOADED,,583331
178065,178065.1,U-Pb zircon,178065.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178065.1.pdf,-28.453956,119.81041,"Nelson, DR 2005, 178065: recrystallized sandstone, Minga Bore; Geochronology Record 592: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178065.1.pdf,DOWNLOADED,,559436
178066,178066.1,U-Pb zircon,178066.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178066.1.pdf,-28.453766,119.81092,"Nelson, DR 2005, 178066: recrystallized sandstone, Minga Bore; Geochronology Record 593: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178066.1.pdf,DOWNLOADED,,483839
178067,178067.1,U-Pb zircon,178067.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178067.1.pdf,-28.347286,119.7507,"Nelson, DR 2005, 178067: recrystallized sandstone, Four Corners Bore; Geochronology Record 594: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178067.1.pdf,DOWNLOADED,,553793
181127,181127.1,U-Pb zircon,181127.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/181127.1.pdf,-23.713926,122.484639,"Wingate, MTD and Bodorkos, S 2007, 181127: quartz sandstone, Durba Hills; Geochronology Record 682: Geological Survey of Western Australia, 7p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/181127.1.pdf,DOWNLOADED,,267520
185997,185997.1,U-Pb zircon,185997.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/185997.1.pdf,-29.054006,118.13863,"Wingate, MTD, Kirkland, CL and Ivanic, TJ 2015, 185997: granitic gneiss, Tandys Bore; Geochronology Record 1229: Geological Survey of Western Australia, 3p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/185997.1.pdf,DOWNLOADED,,543133
194754,194754.1,U-Pb zircon,194754.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/194754.1.pdf,-29.173017,117.66264,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, T 2021, 194754: metamonzogranite, Deep Well; Geochronology Record 1821: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/194754.1.pdf,DOWNLOADED,,1810805
195830,195830.1,U-Pb zircon,195830.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/195830.1.pdf,-25.612256,117.732081,"Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and Johnson, SP 2022, 195830: metamonzogranite, Mount Seabrook; Geochronology Record 1862: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/195830.1.pdf,DOWNLOADED,,2198705
195833,195833.1,U-Pb zircon,195833.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/195833.1.pdf,-25.505426,121.780639,"Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and Johnson, SP 2022, 195833: sandstone, Sydney Heads Pass; Geochronology Record 1863: Geological Survey of Western Australia, 7p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/195833.1.pdf,DOWNLOADED,,1023610
201514,201514.1,U-Pb zircon,201514.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/201514.1.pdf,-29.169072,117.653233,"Wingate, MTD, Fielding, IOH, Lu, Y and Smithies, RH 2021, 201514: metagranodiorite, Deep Well; Geochronology Record 1801: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/201514.1.pdf,DOWNLOADED,,1636542
201536,201536.1,U-Pb zircon,201536.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/201536.1.pdf,-29.132177,118.30277,"Wingate, MTD, Fielding, IOH, Lu, Y and Smithies, RH 2021, 201536: metamonzogranite, Frogmore Bore; Geochronology Record 1822: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/201536.1.pdf,DOWNLOADED,,1905325
203733,203733.1,U-Pb zircon,203733.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203733.1.pdf,-28.077791,120.54344,"Wingate, MTD, Lu, Y, Fielding, IOH, Smithies, RH and Cassidy, KF 2021, 203733: porphyritic granitic rock, Lawlers mine; Geochronology Record 1851: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203733.1.pdf,DOWNLOADED,,2883110
203735,203735.1,U-Pb zircon,203735.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203735.1.pdf,-31.308103,121.761185,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203735: porphyritic metagranodiorite, Lake Lefroy; Geochronology Record 1880: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203735.1.pdf,DOWNLOADED,,2917060
203736,203736.1,U-Pb zircon,203736.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203736.1.pdf,-31.333105,121.780387,"Wingate, MTD, Lu, Y, Fielding, IOH, Cassidy, KF and Smithies, RH 2022, 203736: porphyritic metagranitic rock, Victory deposit; Geochronology Record 1852: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203736.1.pdf,DOWNLOADED,,2472071
203738,203738.1,U-Pb zircon,203738.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203738.1.pdf,-28.949279,122.351144,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203738: porphyritic metasyenite, Lake Carey; Geochronology Record 1881: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203738.1.pdf,DOWNLOADED,,2828224
203739,203739.1,U-Pb zircon,203739.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203739.1.pdf,-28.956083,122.345253,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203739: felsic metavolcanic rock, Lake Carey; Geochronology Record 1882: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203739.1.pdf,DOWNLOADED,,2776773
203740,203740.1,U-Pb zircon,203740.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203740.1.pdf,-28.858098,122.305339,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203740: porphyritic metasyenite, Wallaby mine; Geochronology Record 1883: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203740.1.pdf,DOWNLOADED,,2417361
203748,203748.1,SHRIMP U-Pb zircon,203748.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203748.1.pdf,-34.946456,117.850686,"Wingate, MTD, Lu, Y and Fielding, IOH 2025, 203748.1: biotite–hornblende metamonzogranite, Willyung Hill; Geochronology Record 1940: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract. <www.dmpe.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203748.1.pdf,DOWNLOADED,,5280429
