dataset,missing_sample_id,priority,latitude,longitude,analysis_type_hint,site_or_geochronid_hint,originator_hint,reference_hint,nearest_ims_sample_id,nearest_ims_sources,nearest_ims_distance_m,alias_candidate_count,alias_candidate_examples,recommended_next_step
GSWA Geochronology,209651,LOW,-27.91631600,117.86721000,U-PB ZIRCON,209651.1,ZIBRA I.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND ZIBRA, I 2021, 209651: METAMONZOGRANITE, SUCCESS WELL; GEOCHRONOLOGY RECORD 1831: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",155507,GSWA IMS spots,6608.7,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,230507,LOW,-28.32347600,121.06529000,U-PB ZIRCON,230507.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SAPKOTA, J 2022, 230507: METADACITE, JUNIOR HILL PROSPECT; GEOCHRONOLOGY RECORD 1886: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969076,GA IMS spots,6722.0,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,230514,LOW,-28.32347600,121.06529000,U-PB ZIRCON,230514.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SAPKOTA, J 2022, 230514: METARHYOLITE, JUNIOR HILL PROSPECT; GEOCHRONOLOGY RECORD 838: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969076,GA IMS spots,6722.0,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,212791,LOW,-27.98894600,120.45936000,U-PB ZIRCON,212791.1,ZIBRA I.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND ZIBRA, I 2021, 212791: MONZOGRANITE GNEISS, NEW HOLLAND MINE; GEOCHRONOLOGY RECORD 1824: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",182455,GSWA IMS spots,6730.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,229748,LOW,-27.99550600,120.45823000,SHRIMP U-PB ZIRCON,229748.1,ZIBRA I.,"ROMANO, SS, LU, Y, FIELDING, IOH, WINGATE, MTD AND ZIBRA, I 2023, 229748.1: TONALITIC GNEISS, NEW HOLLAND MINE; GEOCHRONOLOGY RECORD 1913: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA...",182455,GSWA IMS spots,7091.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,195830,LOW,-25.61225600,117.73208100,U-PB ZIRCON,195830.1,JOHNSON S.P.,"FIELDING, IOH, WINGATE, MTD, FLETCHER, IR, RASMUSSEN, B, ZI, J-W AND JOHNSON, SP 2022, 195830: METAMONZOGRANITE, MOUNT SEABROOK; GEOCHRONOLOGY RECORD 1862: GEOLOGICAL SURVEY OF ...",142851,GSWA IMS spots,7664.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,222724,LOW,-28.97866700,120.56953100,U-PB ZIRCON,222724.1,DE PAOLI M.,"WINGATE, MTD, LU, Y, FIELDING, IOH AND SAPKOTA, J 2022, 222724: METAGRANODIORITE, GREGORY WELL; GEOCHRONOLOGY RECORD 1884: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",96969082,GA IMS spots,8795.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,203733,LOW,-28.07779100,120.54344000,U-PB ZIRCON,203733.1,SMITHIES R.H.,"WINGATE, MTD, LU, Y, FIELDING, IOH, SMITHIES, RH AND CASSIDY, KF 2021, 203733: PORPHYRITIC GRANITIC ROCK, LAWLERS MINE; GEOCHRONOLOGY RECORD 1851: GEOLOGICAL SURVEY OF WESTERN A...",92969082,GA IMS spots,9063.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,201536,LOW,-29.13217700,118.30277000,U-PB ZIRCON,201536.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND SMITHIES, RH 2021, 201536: METAMONZOGRANITE, FROGMORE BORE; GEOCHRONOLOGY RECORD 1822: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",198213,GSWA IMS spots,9247.9,0,,Likely absent from current IMS exports; search source report/lab archive.
GSWA Geochronology,211111,LOW,-26.99699700,117.38136100,SHRIMP U-PB ZIRCON,211111.1,IVANIC T.J.,"ROMANO, SS, FIELDING, IOH, WINGATE, MTD, LU, Y AND IVANIC, TJ 2023, 211111.1: META-ANDESITE, MCCRAE BORE; GEOCHRONOLOGY RECORD 1910: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA G...",155569,GSWA IMS spots,9433.2,0,,Likely absent from current IMS exports; search source report/lab archive.
