year,mount_id,samples_missing_count,samples_high_priority_count,samples_medium_priority_count,samples_low_priority_count,samples_with_documents_flag_y,samples_with_available_flag_y,candidate_mount_directory_url,candidate_mount_zip_url,doc_types_seen,example_igsn_links,example_samples
1996,96-80,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-80,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-80/96-80.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0009B,R1; RADIO HILL
1997,97-07,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-07,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-07/97-07.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0009S; http://hdl.handle.net/10273/XXAB0009T; http://hdl.handle.net/10273/XXAB0009U,CHD-319; LEUCOGRANITE
1997,97-11,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-11,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-11/97-11.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0009Z; http://hdl.handle.net/10273/XXAB000A0,E178; MB
1997,97-24,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-24,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-24/97-24.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000B0; http://hdl.handle.net/10273/XXAB000B1,95YQ100; NIM-1
1997,97-26,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-26,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-26/97-26.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000B7; http://hdl.handle.net/10273/XXAB000B8,9796 9102B; 9796 9126
1998,98-02,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-02,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-02/98-02.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000CG; http://hdl.handle.net/10273/XXAB000CH,U928/1; U929/1
1998,98-30,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-30,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-30/98-30.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000EC; http://hdl.handle.net/10273/XXAB000ED,U920/1; U938/1
1999,99-22,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-22,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-22/99-22.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000I2; http://hdl.handle.net/10273/XXAB000I3,WG 300 MRL; WG-GN
1999,99-24,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-24,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-24/99-24.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000I6; http://hdl.handle.net/10273/XXAB000I7,9996 7082C; 9996 9093B
1999,99-28,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-28,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-28/99-28.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000IG; http://hdl.handle.net/10273/XXAB000IH,9996 7082C; 9996 9093B
1999,99-33,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-33,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-33/99-33.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000IP; http://hdl.handle.net/10273/XXAB000IR,9996 7049A; 9996 9049
1999,99-36,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-36,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-36/99-36.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000IY; http://hdl.handle.net/10273/XXAB000IZ,#57 SKARN; 9996 4100
1999,99-42,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-42,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-42/99-42.zip,Notebook Sketch,http://hdl.handle.net/10273/XXAB000J5; http://hdl.handle.net/10273/XXAB000J6,#57 SKARN; ORC-6-21
1999,99-43,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-43,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-43/99-43.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000J8; http://hdl.handle.net/10273/XXAB000J9,9996 4016C; 9996 4100
1999,99-50,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-50,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-50/99-50.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000JR; http://hdl.handle.net/10273/XXAB000JS,#57 SKARN; ORC-6-21
1999,99-72,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-72,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-72/99-72.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000KQ; http://hdl.handle.net/10273/XXAB000KS,E320; E321
1999,99-73,2,2,0,0,2,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-73,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-73/99-73.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB001Z3; http://hdl.handle.net/10273/XXAB001Z5,9996-4003; HM-18
1999,99-85,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-85,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-85/99-85.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000L8; http://hdl.handle.net/10273/XXAB000L9,AGC 847; AGC 849
2000,A-14,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-14,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-14/A-14.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000M8; http://hdl.handle.net/10273/XXAB000M9,9996 9142; 9996 9164A
2000,A-38,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-38,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-38/A-38.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000NN; http://hdl.handle.net/10273/XXAB000NO; http://hdl.handle.net/10273/XXAB000NP; http://hdl.handle.net/10273/XXAB000NQ,9796 7069A; 9796 7069B
2000,A-60,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-60,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-60/A-60.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000OG; http://hdl.handle.net/10273/XXAB000OH,E337; E349
2002,C-96,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-96,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-96/C-96.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB0010S; http://hdl.handle.net/10273/XXAB0010U,E412; TH26
2003,03-116,2,2,0,0,2,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2003/03-116,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2003/03-116/03-116.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB0028C; http://hdl.handle.net/10273/XXAB0028D,97-71-A; 97-71-I
2004,04-143,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2004/04-143,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2004/04-143/04-143.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB001BO; http://hdl.handle.net/10273/XXAB001BP,JH-54; L465958
2006,06-59,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2006/06-59,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2006/06-59/06-59.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB001L6; http://hdl.handle.net/10273/XXAB001L7,FB-01 COARSER; FB-10 COARSER
2008,08-05,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2008/08-05,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2008/08-05/08-05.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB001ML; http://hdl.handle.net/10273/XXAB001MM,TPD 305 360.5-361.5M; TPD 305 362-363M
2009,09-20,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2009/09-20,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2009/09-20/09-20.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB001NK; http://hdl.handle.net/10273/XXAB001NL,JHT-1A; JHT-1B
1995,95-26,3,1,0,2,0,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-26,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-26/95-26.zip,,http://hdl.handle.net/10273/XXAB0003S; http://hdl.handle.net/10273/XXAB0003T; http://hdl.handle.net/10273/XXAB0003U,YQ10; YQ11; YQ17
1995,95-21,2,1,0,1,1,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-21,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-21/95-21.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0003M; http://hdl.handle.net/10273/XXAB0003N,1443292; 397587C
1995,95-36,2,1,0,1,1,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-36,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-36/95-36.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0004I; http://hdl.handle.net/10273/XXAB0004J,9306/026; 9306/032
1997,97-20,2,1,0,1,1,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-20,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-20/97-20.zip,"SHRIMP Logsheet, List of BSE images",http://hdl.handle.net/10273/XXAB000AG; http://hdl.handle.net/10273/XXAB000AI,BF-1; KU-3
1997,97-25,2,1,1,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-25,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-25/97-25.zip,Mount Sketch; SHRIMP Logsheet and Mount Sketch,http://hdl.handle.net/10273/XXAB000B3; http://hdl.handle.net/10273/XXAB000B4,KU-2; NG-1
1998,98-03,2,1,0,1,1,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-03,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-03/98-03.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000CK; http://hdl.handle.net/10273/XXAB000CL,9796 9223; U933/1
2000,A-47,2,1,1,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-47,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-47/A-47.zip,"Notebook Sketch; SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000NW; http://hdl.handle.net/10273/XXAB000NY,E324; E325
2004,04-140,2,1,0,1,0,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2004/04-140,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2004/04-140/04-140.zip,,http://hdl.handle.net/10273/XXAB002DR; http://hdl.handle.net/10273/XXAB002DS,ANORT; SDA
2006,06-64,2,1,0,1,1,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2006/06-64,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2006/06-64/06-64.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB001LF; http://hdl.handle.net/10273/XXAB001LG,FB-03; FB-04
1994,94-08,1,1,0,0,0,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-08,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-08/94-08.zip,,http://hdl.handle.net/10273/XXAB00009,GOBBO'S
1994,94-18,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-18,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-18/94-18.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00012,GNE
1994,94-27,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-27,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-27/94-27.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0001O,70650
1994,94-28,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-28,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-28/94-28.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0001Q,60925
1994,94-30,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-30,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-30/94-30.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0001W,WR012
1995,95-07,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-07,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-07/95-07.zip,Handwritten SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0002D,JS25
1995,95-14,1,1,0,0,0,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-14,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-14/95-14.zip,,http://hdl.handle.net/10273/XXAB0003B,32A-603
1995,95-15,1,1,0,0,0,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-15,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-15/95-15.zip,,http://hdl.handle.net/10273/XXAB0003F,W69
1995,95-33,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-33,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-33/95-33.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0004C,PIT 633 W. WALL
1996,96-08,1,1,0,0,1,1,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-08,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-08/96-08.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0005Q,E7
1996,96-09,1,1,0,0,1,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-09,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-09/96-09.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB001WG,E47
1996,96-18,1,1,0,0,1,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-18,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-18/96-18.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB001WK,CSB1
