sample_id,geochronid,analysis_document,parser_type,raw_row_text,group_id,spot_no,grain_spot,u238_ppm,th232_ppm,th232_u238,f204_pct,u238_pb206_ratio,u238_pb206_ratio_1sigma,pb207_pb206_ratio,pb207_pb206_ratio_1sigma,u238_pb206_star_ratio,u238_pb206_star_ratio_1sigma,pb207_star_pb206_star_ratio,pb207_star_pb206_star_ratio_1sigma,u238_pb206_star_date_ma,u238_pb206_star_date_1sigma_ma,pb207_star_pb206_star_date_ma,pb207_star_pb206_star_date_1sigma_ma,disc_pct,sample_dlat,sample_dlong,siteid,tectonic_unit,analysis_doc_link,recommended_reference,originator_name,location_join_mode,location_conflict_flag
248205,248205.1,248205.1.pdf,STRICT_20COL,S        77     77.1      506     607        1.20     0.000      1.982     0.018    0.18159       0.00056   1.982      0.018    0.18159     0.00056     2633     20     2667     5        1.3,S,77,77.1,506,607,1.20,0.000,1.982,0.018,0.18159,0.00056,1.982,0.018,0.18159,0.00056,2633,20,2667,5,1.3,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        35    35.1       204     120        0.59     0.000      1.995    0.021     0.18167       0.00096   1.995     0.021     0.18167     0.00096     2619     23     2668     9        1.8,S,35,35.1,204,120,0.59,0.000,1.995,0.021,0.18167,0.00096,1.995,0.021,0.18167,0.00096,2619,23,2668,9,1.8,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        52    52.1       339     193        0.57     0.030      1.911     0.019    0.18199       0.00130   1.911      0.019    0.18172     0.00131     2713     23     2669     12       -1.7,S,52,52.1,339,193,0.57,0.030,1.911,0.019,0.18199,0.00130,1.911,0.019,0.18172,0.00131,2713,23,2669,12,-1.7,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        1      1.1       156     87         0.56     0.062      1.955    0.022     0.18229       0.00107   1.957     0.022     0.18174      0.00111    2661     25     2669     10       0.3,S,1,1.1,156,87,0.56,0.062,1.955,0.022,0.18229,0.00107,1.957,0.022,0.18174,0.00111,2661,25,2669,10,0.3,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        33    33.1       312     192        0.61     0.041      2.001     0.018    0.18211       0.00078   2.002      0.018    0.18174     0.00080     2612     20     2669     7        2.1,S,33,33.1,312,192,0.61,0.041,2.001,0.018,0.18211,0.00078,2.002,0.018,0.18174,0.00080,2612,20,2669,7,2.1,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        76    76.1       489     382        0.78     0.004      1.996     0.019    0.18181       0.00058   1.996      0.019    0.18177     0.00058     2618     20     2669     5        1.9,S,76,76.1,489,382,0.78,0.004,1.996,0.019,0.18181,0.00058,1.996,0.019,0.18177,0.00058,2618,20,2669,5,1.9,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        30    30.1       490     516        1.05     -0.010     1.943     0.016    0.18172       0.00062   1.943      0.016    0.18181     0.00063     2677     18     2670     6        -0.3,S,30,30.1,490,516,1.05,-0.010,1.943,0.016,0.18172,0.00062,1.943,0.016,0.18181,0.00063,2677,18,2670,6,-0.3,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S        42    42.1       420     430        1.02     0.043      2.005     0.019    0.18234       0.00060   2.006      0.019    0.18195     0.00061     2608     21     2671     6        2.4,S,42,42.1,420,430,1.02,0.043,2.005,0.019,0.18234,0.00060,2.006,0.019,0.18195,0.00061,2608,21,2671,6,2.4,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S         12    12.1       273     278      1.02   0.000   1.983   0.019   0.18202       0.00082   1.983    0.019   0.18202   0.00082   2633     21     2671     7        1.5,S,12,12.1,273,278,1.02,0.000,1.983,0.019,0.18202,0.00082,1.983,0.019,0.18202,0.00082,2633,21,2671,7,1.5,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
248205,248205.1,248205.1.pdf,STRICT_20COL,S         2      2.1       350     342      0.98   0.007   1.952   0.017   0.18212       0.00072   1.953    0.017   0.18206   0.00072   2666     20     2672     7        0.2,S,2,2.1,350,342,0.98,0.007,1.952,0.017,0.18212,0.00072,1.953,0.017,0.18206,0.00072,2666,20,2672,7,0.2,-31.512976,116.205931,TJISWT000015,South West Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/248205.1.pdf,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, TJ 2022, 248205: siliciclastic schist, Julimar prospect; Geochronology Record 1899: Geological Survey of Western Australia, 8p.",Ivanic T.J.,sample_id+geochronid,
