sample_id,geochronid,analysis_document,local_pdf_path,pdf_download_status,parse_status,row_parser_used,table_rows_extracted,group_counts,non_d_rows,d_rows,has_group_I,sample_hint_from_table,interpretation_notes,error,sample_dlat,sample_dlong,siteid,tectonic_unit,analysis_doc_link,originator_name,location_join_mode,location_conflict_flag,sample_group_ims_overall,sample_group_ims_basis,sample_group_counts_all_codes
231142,231142.1,231142.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/231142.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,23,D:2; I:21,21,2,Y,231142.0,"The analyses are slightly discordant to moderately discordant (Fig. 3). Two analyses are >5% discordant. The dates obtained from these two analyses (Group D; Table 1) are unreliable and are considered not to be geologically significant. Group I comprises 21 analyses of 21 zircons (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2701 ± 3 Ma The date of 2701 ± 3 Ma for the 21 analyses in Group I is interpreted as the igneous crystallization age of the granodiorite.",,-28.171134,119.507546,TJISST180046,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/231142.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:2; I:21
231258,231258.1,231258.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/231258.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,16,D:4; I:12,12,4,Y,231258.0,"The analyses are concordant to moderately discordant (Fig. 3). Four analyses are >5% discordant. The dates obtained from these four analyses (Group D; Table 1) are unreliable and considered not to be geologically significant. The remaining 12 Group I comprises 12 analyses of nine zircons (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2674 ± 4 Ma The date of 2674 ± 4 Ma for the 12 analyses in Group I is interpreted as the igneous crystallization age of the granodiorite.",,-27.258747,116.01437,TJIMUR190058,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/231258.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:4; I:12
231273,231273.1,231273.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/231273.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,20,D:1; I:19,19,1,Y,231273.0,"The analyses are concordant to strongly discordant (Fig. 3). One analysis is >6% discordant. The date obtained from this analysis (Group D; Table 1) is unreliable and considered not to be geologically significant. The remaining 19 analyses form Group I comprises 19 analyses of 15 zircons (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2675 ± 5 Ma The date of 2675 ± 5 Ma for the 19 analyses in Group I is interpreted as the igneous crystallization age of the granodiorite.",,-27.616977,115.733481,TJIMUR190091,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/231273.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:19
232522,232522.1,232522.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/232522.1.pdf,DOWNLOADED,OK,STRICT_20COL,22,D:6; I:13; P:2; X:1,16,6,Y,232522.0,"sphalerite. Plagioclase (An34, andesine) is anhedral to The analyses are concordant to strongly discordant subhedral, equant to slightly tabular, up to 3 mm long, and (Fig. 3). Six analyses are >5% discordant. The dates 5 mm in size, weakly to moderately strained, and exhibits are unreliable, and are considered not to be geologically to subhedral laths up to 1 mm long, and muscovite forms which yield a weighted mean 207Pb*/ 206Pb* date of Figure 2. Cathodoluminescence image of representative zircons from sample 232522: is interpreted as the igneous crystallization age of the Survey of Western Australia, Mineral Exploration Report A118065, single analysis in Group X is interpreted as the age of an",,-21.365653,116.808061,HMHHAM000340,Pilbara Craton,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/232522.1.pdf,Howard H.M.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:6; I:13; P:2; X:1
235129,235129.1,235129.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/235129.1.pdf,DOWNLOADED,OK,STRICT_20COL,16,I:16,16,0,Y,235129.0,"epidote. Green hornblende is subhedral, tabular, up to The analyses are concordant to slightly discordant (Fig. 3), exhibits incipient subgraining and recrystallization around a weighted mean 207Pb*/206Pb* date of 2716 ± 5 Ma Figure 2. Cathodoluminescence image of representative zircons from sample 235129: interpreted as the igneous crystallization age of the quartz",,-27.631987,122.276413,LLBSWH000008,Burtville Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/235129.1.pdf,Burley L.L.,sample_id+geochronid,,I,No S/M groups present; forced to I,I:16
235199,235199.1,235199.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/235199.1.pdf,DOWNLOADED,OK,STRICT_20COL,25,D:3; I:21; P:1,22,3,Y,235199.0,"parallel to plagioclase phenocrysts. Plagioclase The analyses are concordant to strongly discordant phenocrysts are subhedral to euhedral, mostly tabular, up (Fig. 3). Three analyses are >5% discordant. The dates epidote and carbonate. Some plagioclase laths up to 1 mm are unreliable, and considered not to be geologically Figure 2. Cathodoluminescence image of representative zircons from sample 235199: a weighted mean 207Pb*/206Pb* date of 2808 ± 3 Ma Romano, SS and Doublier, MP 2012, Adding pieces to the puzzle: interpreted as the igneous crystallization age of the dacite. Wingate, MTD, Fielding, IOH, Lu, Y and Grech, LL 2021, 235129:",,-27.531338,122.288973,LLBSWH000005,Burtville Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/235199.1.pdf,Burley L.L.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:3; I:21; P:1
236002,236002.1,236002.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/236002.1.pdf,DOWNLOADED,OK,STRICT_20COL,22,I:22,22,0,Y,236002.0,"and zircon. The rock is strongly affected by a texturally The analyses are concordant to moderately discordant destructive alteration assemblage of fine-grained polygonal (Fig. 3), and form a single group, based on their sample exhibits an apparent coarse clastic texture, which a weighted mean 207Pb*/ 206Pb* date of 2702 ± 6 Ma groundmass is feldspathic with a crude trachytic texture interpreted as the age of igneous crystallization. Figure 2. Cathodoluminescence image of representative zircons from sample 236002:",,-31.027797,121.926738,RHSEGS000092,Kurnalpi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/236002.1.pdf,Smithies R.H.,sample_id+geochronid,,I,No S/M groups present; forced to I,I:22
236191,236191.1,236191.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/236191.1.pdf,DOWNLOADED,OK,STRICT_20COL,19,D:1; I:18,18,1,Y,236191.0,"The analyses are concordant to moderately discordant the Vestfold Hills, East Antarctica: Contributions to Mineralogy and (Fig. 3). One analysis is >5% discordant. The date obtained Petrology, v. 115, p. 184–203. from this analysis (Group D; Table 1) is unreliable, and is Nelson, DR 1995, 112147: porphyritic dacite, Yindi Woolshed; a weighted mean 207Pb*/ 206Pb* date of 2706 ± 5 Ma Smithies, RH 1994, Geology of the Roe 1:100,000 Sheet: Geological is interpreted as the age of igneous crystallization.",,-30.719527,122.57136,RHSEGS000139,Kurnalpi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/236191.1.pdf,Smithies R.H.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:18
238531,238531.1,238531.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/238531.1.pdf,DOWNLOADED,OK,STRICT_20COL,11,I:8; X:3,11,0,Y,238531.0,"The analyses are concordant to slightly discordant (Fig. 3), Wingate, MTD, Fielding, IOH and Lu, Y 2019c, 203721: monzogranite, a weighted mean 207Pb*/206Pb* date of 2709 ± 7 Ma of Western Australia, 4p. I is interpreted as the igneous crystallization age of",,-27.719916,117.13932,IXZDAL000037,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/238531.1.pdf,Zibra I.,sample_id+geochronid,,I,No S/M groups present; forced to I,I:8; X:3
239798,239798.1,239798.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/239798.1.pdf,DOWNLOADED,OK,STRICT_20COL,20,D:2; I:10; X:8,18,2,Y,239798.0,"by abrupt changes in the orientation of compacted tube The analyses are concordant to moderately discordant vesicles. Most of the pumice is aphyric, although some (Fig. 3). Two analyses are >5% discordant. The dates in size. Plagioclase phenocrysts are subhedral to euhedral, are unreliable, and are considered not to be geologically Figure 2. Cathodoluminescence image of representative zircons from sample 239798: a weighted mean 207Pb*/206Pb* date of 1798 ± 9 Ma isotope evolution by a two-stage model: Earth and Planetary Science Group X yield a weighted mean 207Pb*/206Pb* date of Earth Sciences, v. 51, no. 5, p. 621–644. is interpreted as the igneous crystallization age of the in Group X is interpreted as the age of an inherited Wingate, MTD, Fielding, IOH, Lu, Y and Martin, DMcB 2021, 225797:",,-21.641777,116.21074,DMMHAM000914,Capricorn Orogen,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/239798.1.pdf,Martin D.M.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:2; I:10; X:8
240118,240118.1,240118.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/240118.1.pdf,DOWNLOADED,OK,STRICT_20COL,17,D:3; I:14,14,3,Y,240118.0,"larger K-feldspar grains. Myrmekite also forms irregular The analyses are concordant to strongly discordant aggregates up to 2.5 mm in size that consist of many small (Fig. 3). Three analyses are >20% discordant. The dates grains. Biotite forms anhedral to subhedral, equant grains are unreliable, and are considered not to be geologically Figure 1. Hand specimen image of sample 240118: metamonzogranite, Mount Mason Figure 2. Cathodoluminescence image of representative zircons from sample 240118: a weighted mean 207Pb*/206Pb* date of 2690 ± 7 Ma is interpreted as the igneous crystallization age of the Geological Survey of Western Australia, 4p.",,-29.146467,120.38222,IXZRIV000452,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/240118.1.pdf,Zibra I.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:3; I:14
240481,240481.1,240481.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/240481.1.pdf,DOWNLOADED,OK,STRICT_20COL,22,D:3; I:18; X:1,19,3,Y,240481.0,"The analyses are concordant to moderately discordant Rasmussen, B, Mueller, AG and Fletcher, IR 2009, Zirconolite and (Fig. 3). Three analyses are >5% discordant. The dates xenotime U-Pb age constraints on the emplacement of the Golden are unreliable, and are considered not to be geologically Eastern Goldfields Province, Yilgarn Craton, Western Australia: interpreted as the age of igneous crystallization. The date Survey of Western Australia, 1:100 000 Geological Series Explanatory interpreted as the age of an inherited zircon.",,-30.181597,121.22383,MDPBAR000009,Kalgoorlie Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/240481.1.pdf,De Paoli M.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:3; I:18; X:1
242405,242405.1,242405.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242405.1.pdf,DOWNLOADED,OK,STRICT_20COL,16,D:1; I:15,15,1,Y,242405.0,"The analyses are concordant to strongly discordant publication (Fig. 3). One analysis is >40% discordant. The date Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, T 2021, 242405: unreliable, and considered not to be geologically 1805: Geological Survey of Western Australia, 4p. a weighted mean 207Pb*/206Pb* date of 2928 ± 5 Ma is interpreted as the igneous crystallization age of the",,-29.761067,117.139681,TJIGIB190047,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242405.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:15
242407,242407.1,242407.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242407.1.pdf,DOWNLOADED,OK,STRICT_20COL,16,I:16,16,0,Y,242407.0,"The analyses are concordant to slightly discordant (Fig. 3), in size. Some biotite has been replaced by chlorite. a weighted mean 207Pb*/206Pb* date of 2932 ± 5 Ma Figure 1. Drillcore image of sample 242407: metadacite, Bungeye Well Figure 2. Cathodoluminescence image of representative zircons from sample 242407: interpreted as the igneous crystallization age of the dacite.",,-29.554016,117.14659,TJIGIB190083,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242407.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,I:16
242435,242435.1,242435.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242435.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,16,D:2; I:14,14,2,Y,242435.0,"The analyses are concordant to strongly discordant (Fig. 2). Two analyses are >8% discordant. The dates obtained from these two analyses (Group D; Table 1) are unreliable and are considered not to be geologically significant. The remaining Group I comprises 14 analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2679 ± 4 Ma (MSWD = The date of 2679 ± 4 Ma for the 14 analyses in Group I is interpreted as the igneous crystallization age of the",,-29.349607,116.637091,TJIROT190057,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242435.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:2; I:14
242439,242439.1,242439.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242439.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,18,D:1; I:11; P:3; X:1; Z:2,17,1,Y,242439.0,"The analyses are concordant to moderately discordant (Fig. 2). One analysis is >8% discordant. The date obtained from this analysis (Group D, Table 1) is unreliable and considered not to be geologically significant. The remaining 17 analyses can Group I comprises 11 analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 3275 ± 5 Ma (MSWD = The date of 3275 ± 5 Ma for the 11 analyses in Group I is interpreted as the igneous crystallization age of the granodiorite The date of 3506 ± 4 Ma for the single analysis in Group X is interpreted as the age of an inherited component. The dates",,-29.105117,116.092471,TJIROT190059,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242439.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:11; P:3; X:1; Z:2
242442,242442.1,242442.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242442.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,18,D:1; I:13; P:4,17,1,Y,,"The analyses are concordant to moderately discordant (Fig. 3). One analysis is >5% discordant. The date obtained from this analysis (Group D; Table 1) is unreliable and is considered not to be geologically significant. The remaining 17 analyses Group I comprises 13 analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2939 ± 5 Ma (MSWD = The date of 2939 ± 5 Ma for the 13 analyses in Group I is interpreted as the magmatic crystallization age of the",,-29.567647,115.956871,TJIROT190061,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242442.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:13; P:4
242455,242455.1,242455.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242455.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,15,I:15,15,0,Y,242455.0,"The analyses are concordant to moderately discordant (Fig. 3), and form a single group, based on their 207Pb*/206Pb* Group I comprises 15 analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2973 ± 4 Ma (MSWD = The date of 2973 ± 4 Ma for the 15 analyses in Group I is interpreted as the igneous crystallization age of the protolith to",,-26.958637,117.419761,TJIKAL190040,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242455.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,I:15
242490,242490.1,242490.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/242490.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,14,D:1; I:11; X:2,13,1,Y,,"The analyses are slightly discordant to moderately discordant (Fig. 3). One analysis is >5% discordant. The date obtained from this analysis (Group D; Table 1) is unreliable and is considered not to be geologically significant. The remaining 13 Group I comprises 11 analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2693 ± 7 Ma (MSWD = Group X comprises two analyses (Table 1), which yield a weighted mean 207Pb*/206Pb* date of 2724 ± 8 Ma (MSWD = The date of 2693 ± 7 Ma for the 11 analyses in Group I is interpreted as the magmatic crystallization age of the monzogranite. The date of 2724 ± 8 Ma for the two analyses in Group X is interpreted as the age of an inherited",,-26.840467,117.027121,TJIKAL190115,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/242490.1.pdf,Ivanic T.J.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:1; I:11; X:2
