sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
E265,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000JU,99-53,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E313,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KI,99-68,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018; Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E314,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000K0,99-58,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E319,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KG,99-68,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E320,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KS,99-72,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E321,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KQ,99-72,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E322,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KH,99-68,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E324,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000NY,A-47,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E325,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000NW,A-47,Notebook Sketch,"Barley et al., 2002 - AMIRA Project P437A: Tectonostratigraphic analysis of the Eastern Yilgarn Craton- an improved geological framework for exploration in Archaean Terranes, Final Report"
E337,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000OH,A-60,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E349,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000OG,A-60,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E350,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000OJ,A-66,,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E353,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000ON,A-80,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E356,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000OP,A-80,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E357,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000OQ,A-80,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E374,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000Q9,B-12,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E375,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000QC; http://hdl.handle.net/10273/XXAB000QD,B-13,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E385,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000U2,B-80,SHRIMP Log information,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018 and Barley et al., 2003 - AMIRA Project P624:An integrated geological and metallogenic framework for the eastern Yilgarn Craton"
E387,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000UV,B-91,SHRIMP Log information,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018 and Barley et al., 2003 - AMIRA Project P624:An integrated geological and metallogenic framework for the eastern Yilgarn Craton"
E392,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000UW,B-91,SHRIMP Log information,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018 and Barley et al., 2003 - AMIRA Project P624:An integrated geological and metallogenic framework for the eastern Yilgarn Craton"
E396,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000WW,C-16,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018 and Barley et al., 2003 - AMIRA Project P624:An integrated geological and metallogenic framework for the eastern Yilgarn Craton"
E400,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YM,C-48,"SHRIMP Logsheet, Notebook Sketch","Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014 and Barley et al., 2003 - AMIRA Project P624:An integrated geological and metallogenic framework for the eastern Yilgarn Craton"
E401,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000Y4,C-33,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018; Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E410,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YV,C-71,SHRIMP Logsheet,"Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E412,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0010U,C-96,"SHRIMP Logsheet, Notebook Sketch","Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E416,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB00231,C-111,"SHRIMP Logsheet, Notebook Sketch","Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E47,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001WG,96-09,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E525,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001BF,04-139,"SHRIMP Logsheet, Notebook Sketch","Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E7,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0005Q,96-08,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
E74/E75,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB00078,96-37,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
EMD-10,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000AW,97-23,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
EMD-2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008Q,96-73,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
EMD-2 LEACHED,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008R,96-73,SHRIMP Logsheet,
ENGD5: 133.6-137.5,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000W0,C-11,SHRIMP Logsheet,"Vielreicher et al., 2010 - Economic Geology - 0361-0128/10/3868/187-41"
EQ65,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00064,96-13,SHRIMP Logsheet,"Brauhart 1999, Regional alteration systems associated with Archean volcanogenic massive sulfide deposits at Panorama, Pilbara, Western Australia: UWA PhD thesis; Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
FB-01 COARSER,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001L6,06-59,"SHRIMP Logsheet, Notebook Sketch",
FB-01 FINER,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB001L3,06-58,Notebook Sketch,
FB-03,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001LF,06-64,SHRIMP Logsheet,
FB-04,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001LG,06-64,,
FB-10 COARSER,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001L7,06-59,"SHRIMP Logsheet, Notebook Sketch",
FB-10 FINER,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB001L4,06-58,Notebook Sketch,
FB-12,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001LI,06-65,"SHRIMP Logsheet, Notebook Sketch",
FL11 PYRITE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0000D,94-10,"SHRIMP Logsheet, Notebook Sketch","M. D. Savage, 1992 - A study on the source and nature of Cu-Au-Ag mineralisation in the Phillips River Goldfield, Ravensthorpe, Western Australia - UWA Honours Thesis"
FL11 ZR NO INCLUSIONS,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0000F,94-10,"SHRIMP Logsheet, Notebook Sketch","M. D. Savage, 1992 - A study on the source and nature of Cu-Au-Ag mineralisation in the Phillips River Goldfield, Ravensthorpe, Western Australia - UWA Honours Thesis"
FL11 ZR WITH INCLUSIONS,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0000E,94-10,"SHRIMP Logsheet, Notebook Sketch","M. D. Savage, 1992 - A study on the source and nature of Cu-Au-Ag mineralisation in the Phillips River Goldfield, Ravensthorpe, Western Australia - UWA Honours Thesis"
FORTRESS HILL,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0008A,96-59,,"P. Duuring, 1995 - The nature and genesis of gold mineralisation at the Jupiter syenite-hosted gold deposit, near Mt. Morgans, Western Australia - UWA Honours Thesis"
GC588,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002U,95-12,"SHRIMP Logsheet, Notebook Sketch","A Ross, 2002 - Genesis of the Kanowna Belle gold deposit, Kalgoorlie, Western Australia - UWA PhD Thesis"
GCPIT627,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002W,95-12,"SHRIMP Logsheet, Notebook Sketch","P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
GG-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001R8; http://hdl.handle.net/10273/XXAB001RC,17-02; 17-03,,"J Porter, 2019 Curtin PhD Thesis"
GG-2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001R9; http://hdl.handle.net/10273/XXAB001RE,17-02; 17-04,,"J Porter, 2019 Curtin PhD Thesis"
GMPO,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000VZ,C-11,SHRIMP Logsheet,"Vielreicher et al., 2010 - Economic Geology - 0361-0128/10/3868/187-41"
GNE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00012,94-18,SHRIMP Logsheet,"Yeats et al., 1996 - Economic Geology - https://doi.org/10.2113/gsecongeo.91.8.1354"
GOBBO'S,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00005; http://hdl.handle.net/10273/XXAB00009,94-07; 94-08,"SHRIMP Logsheet, Notebook Sketch","Barley and Pickard, 1999 - Precambrian Research - https://doi.org/10.1016/S0301-9268(99)00003-0"
GWALIA SLATE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001BH,04-141,"SHRIMP Logsheet, Notebook Sketch","M Baggott, 2006 - A refined model for the magmatic, tectonometamorphic and hydrothermal evolution of the Leonora District, Eastern Goldfields Province, Yilgarn Craton, Western Australia - UWA PhD Thesis"
HB08-5,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001O6; http://hdl.handle.net/10273/XXAB001P5,11-21; 12-21,SHRIMP Logsheet,"Mueller et al., 2016 - Miner Deposita - DOI 10.1007/s00126-016-0665-9"
HB08-6,LOW,N,Y,N,,11-21; 12-21,SHRIMP Logsheet,
HB08-8A,LOW,N,Y,N,,12-21,,
HB08-8A (NM),LOW,N,Y,N,,11-21,SHRIMP Logsheet,
HM-18,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001Z3,99-73,"SHRIMP Logsheet, Notebook Sketch",
HORSE 01,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001HJ,05-20,,"Krapez et al., 2017 - Precambrian Research - http://dx.doi.org/10.1016/j.precamres.2017.03.020"
J2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000BD,97-33,SHRIMP Logsheet,"Yeats et al., 2001 - Mineralium Deposita - https://doi.org/10.1007/s001260050293"
J3,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001XC,97-32,SHRIMP Logsheet,"Yeats et al., 2001 - Mineralium Deposita - https://doi.org/10.1007/s001260050293"
JBS17,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00021; http://hdl.handle.net/10273/XXAB001W0,95-02; 95-03,Handwritten SHRIMP Logsheet,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis"
JBS33,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002H,95-08,,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis"
JBS35,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00020; http://hdl.handle.net/10273/XXAB001VX,95-01; 95-03,Handwritten SHRIMP Logsheet,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis; Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3"
JBS44,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001VY; http://hdl.handle.net/10273/XXAB001W1,95-01; 95-02,Handwritten SHRIMP Logsheet,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis; Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3"
JG01,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001TH,18-06,,"V Barrote, 2019 Curtin PhD Thesis"
JG02,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001TI,18-06,,"V Barrote, 2019 Curtin PhD Thesis"
JG03,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001TJ,18-06,,"V Barrote, 2019 Curtin PhD Thesis"
JH-54,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001BP,04-143,"SHRIMP Logsheet, Notebook Sketch","M Baggott, 2006 - A refined model for the magmatic, tectonometamorphic and hydrothermal evolution of the Leonora District, Eastern Goldfields Province, Yilgarn Craton, Western Australia - UWA PhD Thesis"
JHT-1A,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001NK,09-20,SHRIMP Logsheet,"Wilson et al., 2010 - Precambrian Research - doi:10.1016/j.precamres.2010.02.019"
JHT-1B,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001NL,09-20,SHRIMP Logsheet,"Wilson et al., 2010 - Precambrian Research - doi:10.1016/j.precamres.2010.02.019"
JRDC 8044,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000SW,B-49,SHRIMP Log information,"Baggott et al., 2005 - Economic Geology - https://doi.org/10.2113/gsecongeo.100.7.1389"
JS20,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002F,95-08,,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis"
JS25,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002D,95-07,Handwritten SHRIMP Logsheet,"Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3"
JS44,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0002G,95-08,,"P - Smith et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00067-3, T- Smith, 1997 - UWA PhD Thesis"
JUNDEE,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0009O; http://hdl.handle.net/10273/XXAB0009P,97-04,,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
JUPITER,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0008B; http://hdl.handle.net/10273/XXAB000W6,96-59; C-121; C-75,,"P - Salier et al., 2005 - Economic Geology - 0361-0128/05/3548/1363-26, T - Salier, 2003 - UWA PhD Thesis; P. Duuring, 1995 - The nature and genesis of gold mineralisation at the Jupiter syenite-hosted gold deposit, near Mt. Morgans, Western Australia - UWA Honours Thesis"
K1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00082,96-53,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
K4,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00081,96-53,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
KI/80,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000O,94-12,,"P - Vielreicher and McNaughton, 2002 - International Journal of Earth Sciences - DOI 10.1007/s00531-001-0233-z, T - McMillan, 1996 - UWA PhD Thesis"
KI/84,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000N,94-12,,"P - Vielreicher and McNaughton, 2002 - International Journal of Earth Sciences - DOI 10.1007/s00531-001-0233-z, T - McMillan, 1996 - UWA PhD Thesis"
KND 133: 153-156,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000W1,C-11,SHRIMP Logsheet,"Vielreicher et al., 2010 - Economic Geology - 0361-0128/10/3868/187-41"
KND 174: 164.1-165,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000VY,C-11,SHRIMP Logsheet,"Vielreicher et al., 2010 - Economic Geology - 0361-0128/10/3868/187-41"
KU-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000A3,97-12,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
KU-2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000B4,97-25,SHRIMP Logsheet and Mount Sketch,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
KU-3,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000AI,97-20,"SHRIMP Logsheet, List of BSE images","Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
KU-5,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000RC,B-31,,"M. Godfrey, 2004 - Provenance and tectonic setting of late Archaean metasedimentary rocks in the eastern goldfields of Western Australia"
KWA-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0009M,97-02,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
KWAD11,MEDIUM,Y,N,Y,http://hdl.handle.net/10273/XXAB001VV,94-33,Notebook Sketch,"M. D. Savage, 1992 - A study on the source and nature of Cu-Au-Ag mineralisation in the Phillips River Goldfield, Ravensthorpe, Western Australia - UWA Honours Thesis"
L465958,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001BO,04-143,"SHRIMP Logsheet, Notebook Sketch","M Baggott, 2006 - A refined model for the magmatic, tectonometamorphic and hydrothermal evolution of the Leonora District, Eastern Goldfields Province, Yilgarn Craton, Western Australia - UWA PhD Thesis"
LEUCOGRANITE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0009U,97-07,SHRIMP Logsheet,
M95-028A,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008K,96-71,SHRIMP Logsheet,
M95-028B,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0008L,96-71,,
M95-556A,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008I,96-71,SHRIMP Logsheet,
MANGANESE GROUP,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB002CF; http://hdl.handle.net/10273/XXAB002CH; http://hdl.handle.net/10273/XXAB002CI; http://hdl.handle.net/10273/XXAB002CJ; http://hdl.handle.net/10273/XXAB002CL,04-08; 04-11; 04-12,,"Rasmussen and Fletcher, 2004 - GEOLOGY - doi: 10.1130/G20658.1"
MB,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000A0,97-11,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
MD 10,HIGH,Y,Y,N,,09-14,SHRIMP Logsheet,
MD 12,HIGH,Y,Y,N,,09-14,SHRIMP Logsheet,
MD 3,HIGH,Y,Y,N,,09-14,SHRIMP Logsheet,
MD 4,HIGH,Y,Y,N,,09-14,SHRIMP Logsheet,
MD 9,HIGH,Y,Y,N,,09-14,SHRIMP Logsheet,
MD3,HIGH,Y,Y,N,,09-15,SHRIMP Logsheet,
METQTZ1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001GF,05-02,,"Krapez et al., 2017 - Precambrian Research - http://dx.doi.org/10.1016/j.precamres.2017.03.020"
MGS-1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0009K,97-02,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
MOND,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006A,96-19,SHRIMP Logsheet,"Barley and Pickard, 1999 - Precambrian Research - https://doi.org/10.1016/S0301-9268(99)00003-0"
MQ,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000A2,97-12,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
MTM 1A,HIGH,Y,Y,N,,C-37,SHRIMP Logsheet,
MTM 1B,HIGH,Y,Y,N,,C-37,SHRIMP Logsheet,
MTM 7,HIGH,Y,Y,N,,C-37,SHRIMP Logsheet,
MTM 8B,HIGH,Y,Y,N,,C-37,SHRIMP Logsheet,
MTM 9,HIGH,Y,Y,N,,C-37,SHRIMP Logsheet,
MW-2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001Z1,99-70,"SHRIMP Logsheet, Notebook Sketch",box notes
N3162,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0007K,96-44,SHRIMP Logsheet,"J Smith, 1997 - Integrated tectonic analysis of the Archaean West-Pilbara Block, Western Australia: evidence for accretion - UWA Phd Thesis"
N4259,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0007E,96-39,SHRIMP Logsheet,"J Smith, 1997 - Integrated tectonic analysis of the Archaean West-Pilbara Block, Western Australia: evidence for accretion - UWA Phd Thesis"
N4436,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00071,96-31,SHRIMP Logsheet,"J Smith, 1997 - Integrated tectonic analysis of the Archaean West-Pilbara Block, Western Australia: evidence for accretion - UWA Phd Thesis"
N4450,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008G,96-68,SHRIMP Logsheet,"J Smith, 1997 - Integrated tectonic analysis of the Archaean West-Pilbara Block, Western Australia: evidence for accretion - UWA Phd Thesis"
NG-1,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000B3,97-25,Mount Sketch,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
NIM-1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000B0,97-24,SHRIMP Logsheet,"Hollis et al., 2017 -Precambrian Research - https://doi.org/10.1016/j.precamres.2017.01.002"
ORC-6-21,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000J5; http://hdl.handle.net/10273/XXAB000JR,99-42; 99-50,Notebook Sketch; SHRIMP Logsheet,"R. Edgecombe, 1999 - The Late Proterozoic O'Callaghans Granite and associated tungsten skarn (Telfer District, Western Australia) - UWA Honours thesis"
P1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0009Q,97-04,,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
P2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008N; http://hdl.handle.net/10273/XXAB0008U,96-72; 96-73,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
P3,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008W,96-74,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
PAR-12 HANDPICKED#,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YQ,C-69,SHRIMP Logsheet,"McNaughton et al., 2005 - Economic Geology - 0361-0128/05/3551/1427-14"
PAR-12 WT,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001XJ,98-18,"SHRIMP Logsheet, Notebook Sketch","McNaughton et al., 2005 - Economic Geology - 0361-0128/05/3551/1427-14"
PD-2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000RB,B-31,,"M. Godfrey, 2004 - Provenance and tectonic setting of late Archaean metasedimentary rocks in the eastern goldfields of Western Australia"
PIT 633 W. WALL,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0004C,95-33,SHRIMP Logsheet,"P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
QFP1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00065,96-13,SHRIMP Logsheet,"Brauhart 1999, Regional alteration systems associated with Archean volcanogenic massive sulfide deposits at Panorama, Pilbara, Western Australia: UWA PhD thesis; Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
R1,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0009B,96-80,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
R2,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008O; http://hdl.handle.net/10273/XXAB0008T,96-72; 96-73,SHRIMP Logsheet,"Yeats et al., 1999 - Economic Geology - https://doi.org/10.2113/gsecongeo.94.8.1259"
RADIO HILL,HIGH,Y,Y,N,,96-80,SHRIMP Logsheet,
RM1,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB0000I,94-11,Notebook Sketch,"P - Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2, T - Smith, 1997 - UWA PhD Thesis"
RR018,MEDIUM,Y,N,Y,http://hdl.handle.net/10273/XXAB0001Y,94-32,Notebook Sketch,
S437,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001XI,98-18,"SHRIMP Logsheet, Notebook Sketch",
SB390,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB00035,95-13,,"Bickle et al., 1993 - Precambrian Research - https://doi.org/10.1016/0301-9268(93)90047-6"
