dataset,missing_sample_id,reason
McNaughton Legacy SHRIMP,9796 7152,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 7153,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9023,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9044,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9090,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9102B,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9125,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9126,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9201,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9202,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9209,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9212,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9223,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9237,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9245,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9248,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9249,No IMS point within tolerance
McNaughton Legacy SHRIMP,9796 9256B,No IMS point within tolerance
McNaughton Legacy SHRIMP,98/9 25E,No IMS point within tolerance
McNaughton Legacy SHRIMP,9896 7001A,No IMS point within tolerance
McNaughton Legacy SHRIMP,9896 7102E,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 4016C,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 4100,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 7049A,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 7055,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 7082C,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9049,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9066,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9093B,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9096,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9142,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996 9164A,No IMS point within tolerance
McNaughton Legacy SHRIMP,9996-4003,No IMS point within tolerance
McNaughton Legacy SHRIMP,A1 PGM,No IMS point within tolerance
McNaughton Legacy SHRIMP,A12F,No IMS point within tolerance
McNaughton Legacy SHRIMP,A195-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,A1PGM,No IMS point within tolerance
McNaughton Legacy SHRIMP,A224-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,AFA 901,No IMS point within tolerance
McNaughton Legacy SHRIMP,AGC 834,No IMS point within tolerance
McNaughton Legacy SHRIMP,AGC 845,No IMS point within tolerance
McNaughton Legacy SHRIMP,AGC 847,No IMS point within tolerance
McNaughton Legacy SHRIMP,AGC 849,No IMS point within tolerance
McNaughton Legacy SHRIMP,AGC848,No IMS point within tolerance
McNaughton Legacy SHRIMP,AMY,No IMS point within tolerance
McNaughton Legacy SHRIMP,ANORT,No IMS point within tolerance
McNaughton Legacy SHRIMP,ANORT.,No IMS point within tolerance
McNaughton Legacy SHRIMP,B 137,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38A-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38A-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38A-3,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38A-4,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38A-5,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38B-6,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38B-7,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38B-8,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38C-10,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38C-11,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38C-12,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38C-13,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38C-9,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38D-14,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38D-15,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38D-16,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38D-17,No IMS point within tolerance
McNaughton Legacy SHRIMP,B38D-18,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41A-21,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41A-22,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41A-23,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41A-24,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41A-25,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-26,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-27,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-28,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-29,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-30,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-31,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-32,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41B-33,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-34,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-35,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-36,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-37,No IMS point within tolerance
