age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1648.417085,0.398944,0.258589,0.601056,0.741411,200
1658.462312,0.391335,0.246994,0.608665,0.753006,200
1668.507538,0.379694,0.236060,0.620306,0.763940,200
1678.552764,0.366092,0.225346,0.633908,0.774654,200
1688.597990,0.353833,0.215432,0.646167,0.784568,200
1698.643216,0.343922,0.206341,0.656078,0.793659,200
1708.688442,0.333678,0.197922,0.666322,0.802078,200
1718.733668,0.322951,0.189548,0.677049,0.810452,200
1728.778894,0.310745,0.179961,0.689255,0.820039,200
1738.824121,0.299959,0.169155,0.700041,0.830845,200
1748.869347,0.291175,0.157700,0.708825,0.842300,200
1758.914573,0.276871,0.143625,0.723129,0.856375,200
1768.959799,0.265783,0.131694,0.734217,0.868306,200
1779.005025,0.250382,0.119169,0.749618,0.880831,200
1789.050251,0.234058,0.108342,0.765942,0.891658,200
1799.095477,0.217752,0.098961,0.782248,0.901039,200
1809.140704,0.200716,0.090594,0.799284,0.909406,200
1819.185930,0.186473,0.083864,0.813527,0.916136,200
1829.231156,0.176045,0.078359,0.823955,0.921641,200
1839.276382,0.165412,0.072493,0.834588,0.927507,200
1849.321608,0.154161,0.066952,0.845839,0.933048,200
1859.366834,0.141568,0.061213,0.858432,0.938787,200
1869.412060,0.131161,0.056335,0.868839,0.943665,200
1879.457286,0.120543,0.050998,0.879457,0.949002,200
1889.502513,0.112946,0.046688,0.887054,0.953312,200
1899.547739,0.103289,0.041363,0.896711,0.958637,200
1909.592965,0.094554,0.037243,0.905446,0.962757,200
1919.638191,0.084425,0.033061,0.915575,0.966939,200
1929.683417,0.076606,0.029869,0.923394,0.970131,200
1939.728643,0.067687,0.026064,0.932313,0.973936,200
1949.773869,0.059816,0.022691,0.940184,0.977309,200
1959.819095,0.052041,0.019482,0.947959,0.980518,200
1969.864322,0.045969,0.017008,0.954031,0.982992,200
1979.909548,0.040710,0.014814,0.959290,0.985186,200
1989.954774,0.037062,0.013223,0.962938,0.986777,200
2000.000000,0.034202,0.011860,0.965798,0.988140,200
